,active_id,passive_id,active_reliability,passive_reliability,passive_opinion,accepted,result,total_payout
1626,6,17,0.2011892899392248,0.6573937171878698,0.499702061345,False,0,296
1627,66,63,0.3765998196786472,0.6995856508849027,0.49999038551060004,False,0,296
1628,86,28,0.8709299685312517,0.4925642183840966,0.5536637404464161,True,True,298
1629,48,49,0.7828584522307371,0.011745271505232302,0.5503331413873329,True,True,300
1630,31,56,0.15214848125151947,0.7522150178466209,0.4999999955,False,0,300
1631,48,70,0.7828584522307371,0.13243031698343088,0.45031996176585354,True,False,298
1632,82,63,0.8256738127093619,0.6995856508849027,0.5532805000000001,True,True,300
1633,2,64,0.5638812003550872,0.47595030363924906,0.45513754508620996,True,False,298
1634,57,87,0.016109036539691313,0.32399559422036395,0.4994233226152902,False,0,298
1635,32,88,0.8843595638420733,0.7844418415440243,0.5502154727534501,True,True,300
1636,92,33,0.3670132407765695,0.955659464972479,0.45,True,False,298
1637,83,91,0.5625549197627102,0.1959432094326894,0.450709002351794,True,False,296
1638,48,11,0.7828584522307371,0.4239689231138435,0.5503252793261502,True,True,298
1639,55,48,0.523694376481977,0.7828584522307371,0.49970552450000005,False,0,298
1640,64,13,0.47595030363924906,0.42769690945416095,0.55,True,True,300
1641,74,42,0.4029853564945399,0.7525534453467377,0.4999849850345,False,0,300
1642,51,43,0.28796357213368906,0.47947134741576547,0.45014087196,True,False,298
1643,10,62,0.5512526074758338,0.20890096642941136,0.49986907001569914,False,0,298
1644,94,77,0.6781071589483186,0.6383430851617418,0.49926894886081497,False,0,298
1645,32,69,0.8843595638420733,0.6472246847277785,0.5693731767860502,True,True,300
1646,94,81,0.6781071589483186,0.6338557029315768,0.4990845956286836,False,0,300
1647,88,46,0.7844418415440243,0.6285993270448168,0.5508342541506792,True,True,302
1648,74,71,0.4029853564945399,0.8781656100474061,0.49906689355895,False,0,302
1649,20,31,0.016224831120290162,0.15214848125151947,0.499864475255,False,0,302
1650,57,60,0.016109036539691313,0.7613227572478535,0.4994975680109752,False,0,302
1651,96,80,0.8208925951448197,0.05423935478056885,0.59905,True,True,304
1652,99,32,0.5614939800532877,0.8843595638420733,0.49996795414779505,False,0,304
1653,63,5,0.6995856508849027,0.16856865258847997,0.5502982011553575,True,True,306
1654,22,32,0.712099196059417,0.8843595638420733,0.552994217465644,True,True,308
1655,73,47,0.8547449106915094,0.4279423463300204,0.5547453555480526,True,True,310
1656,60,9,0.7613227572478535,0.753955871829607,0.4981175370935646,False,0,310
1657,70,76,0.13243031698343088,0.2439130066600269,0.49554551791400003,False,0,310
1658,76,1,0.2439130066600269,0.37638918792948317,0.4966867031,False,0,310
1659,51,15,0.28796357213368906,0.4256666459969388,0.49961847093416656,False,0,310
