,active_id,passive_id,active_reliability,passive_reliability,passive_opinion,accepted,result,total_payout
193,88,53,0.12408063373333265,0.34532506630187976,0.45,True,False,-202
194,90,53,0.16287808576456325,0.34532506630187976,0.45,True,False,-204
195,99,53,0.32135289474574885,0.34532506630187976,0.45,True,False,-206
196,63,53,0.15584090052225436,0.34532506630187976,0.45,True,False,-208
197,70,53,0.4639247092269356,0.34532506630187976,0.49500000000000005,True,False,-210
198,32,53,0.29767462460489075,0.34532506630187976,0.45,True,False,-212
199,19,53,0.3235309974837251,0.34532506630187976,0.55,True,True,-210
200,18,14,0.3676032568049543,0.07215779684031474,0.45,True,False,-212
201,81,14,0.3578827445616286,0.07215779684031474,0.55,True,True,-210
202,87,98,0.09825721243537704,0.20388298667987792,0.45,True,False,-212
203,58,98,0.4118415880032315,0.20388298667987792,0.45,True,False,-214
204,50,98,0.3115900095998313,0.20388298667987792,0.45,True,False,-216
205,99,98,0.32135289474574885,0.20388298667987792,0.55,True,True,-214
206,94,43,0.21760921854345086,0.2644433470212973,0.45,True,False,-216
207,86,43,0.08977317136487191,0.2644433470212973,0.45,True,False,-218
208,48,43,0.16859037048679992,0.2644433470212973,0.45,True,False,-220
209,45,43,0.27137112135451447,0.2644433470212973,0.55,True,True,-218
210,86,73,0.08977317136487191,0.10707656328555797,0.45,True,False,-220
211,91,73,0.20724611653396197,0.10707656328555797,0.55,True,True,-218
212,25,44,0.21207487581486856,0.0917857315810013,0.55,True,True,-216
213,78,10,0.17223136070860318,0.06332505466691517,0.45,True,False,-218
214,7,10,0.01306887440669658,0.06332505466691517,0.45,True,False,-220
215,45,10,0.27137112135451447,0.06332505466691517,0.55,True,True,-218
216,96,92,0.3387459817477528,0.33597361467621856,0.45,True,False,-220
217,19,92,0.3235309974837251,0.33597361467621856,0.55,True,True,-218
218,51,23,0.2880986687612885,0.18098490676782394,0.45,True,False,-220
219,49,23,0.02213197076813655,0.18098490676782394,0.45,True,False,-222
220,64,23,0.1686088846057616,0.18098490676782394,0.45,True,False,-224
221,17,23,0.0715259247353508,0.18098490676782394,0.55,True,True,-222
222,78,47,0.17223136070860318,0.4091140130873249,0.45,True,False,-224
223,73,47,0.10707656328555797,0.4091140130873249,0.45,True,False,-226
224,40,47,0.11478019167316256,0.4091140130873249,0.45,True,False,-228
225,55,47,0.16580560462302538,0.4091140130873249,0.45,True,False,-230
226,38,47,0.45291024758096854,0.4091140130873249,0.55,True,True,-228
227,72,24,0.423619813400912,0.3338305638453244,0.55,True,True,-226
228,77,54,0.04948206305048747,0.0499960665023691,0.45,True,False,-228
229,74,54,0.2465211816850676,0.0499960665023691,0.45,True,False,-230
230,44,54,0.0917857315810013,0.0499960665023691,0.45,True,False,-232
231,2,54,0.05693265806047355,0.0499960665023691,0.45,True,False,-234
232,78,54,0.17223136070860318,0.0499960665023691,0.45,True,False,-236
233,24,54,0.3338305638453244,0.0499960665023691,0.55,True,True,-234
234,62,43,0.17373530610406118,0.2644433470212973,0.55,True,True,-232
235,8,24,0.05545878585874701,0.3338305638453244,0.45,True,False,-234
236,70,24,0.4639247092269356,0.3338305638453244,0.45,True,False,-236
237,91,24,0.20724611653396197,0.3338305638453244,0.55,True,True,-234
238,3,13,0.23676160509493202,0.14348594262038417,0.45,True,False,-236
239,1,13,0.26665350146056593,0.14348594262038417,0.55,True,True,-234
240,63,49,0.15584090052225436,0.02213197076813655,0.49500000000000005,True,False,-236
241,31,49,0.0046912960998865,0.02213197076813655,0.45,True,False,-238
242,42,49,0.056370149726430105,0.02213197076813655,0.45,True,False,-240
243,32,49,0.29767462460489075,0.02213197076813655,0.45,True,False,-242
244,50,49,0.3115900095998313,0.02213197076813655,0.55,True,True,-240
245,13,77,0.14348594262038417,0.04948206305048747,0.45,True,False,-242
246,34,77,0.10983458299388069,0.04948206305048747,0.45,True,False,-244
247,5,77,0.380247665444812,0.04948206305048747,0.55,True,True,-242
248,94,88,0.21760921854345086,0.12408063373333265,0.45,True,False,-244
249,53,88,0.34532506630187976,0.12408063373333265,0.55,True,True,-242
250,89,97,0.02184433110882209,0.27930974640197764,0.45,True,False,-244
